experiment_id,epoch,step,tokens_seen,estimated_chars_seen,train_loss,val_loss,test_loss,train_nats_per_char,val_nats_per_char,train_bits_per_char,val_bits_per_char,train_val_gap,best_val_loss_so_far,best_val_bits_per_char_so_far,val_loss_minus_best_so_far,val_bits_minus_best_so_far,lr,grad_norm,elapsed_sec,tokens_per_sec,tokens_per_sec_after_warmup,parameter_count,compute_proxy_param_tokens,estimated_train_flops
E05,0.0,0.0,0.0,0.0,8.33412,8.33353,8.33353,4.533680420997386,4.536852256303915,6.540718260348316,6.545294251415562,-0.0005900000000007566,8.33353,6.545294251415562,0.0,0.0,0.0004,,0.0,0.0,0.0,3338112.0,0.0,0.0
E05,1.0,183.0,749568.0,1377906.9277198182,7.47964,7.49612,7.49612,4.068851591302847,4.080958361645654,5.870112012885785,5.887578390420534,0.016480000000000494,7.49612,5.887578390420534,0.0,0.0,0.0004,0.308975,4.07037,184152.0,184152.0,3338112.0,2502141935616.0,15012851613696.0
E05,2.0,366.0,1499136.0,2755813.8554396364,6.09687,6.17942,6.17942,3.3166381271647554,3.36413447478434,4.784897378483852,4.853420123654964,0.08255000000000035,6.17942,4.853420123654964,0.0,0.0,0.0004,0.607411,7.73134,193904.0,193904.0,3338112.0,5004283871232.0,30025703227392.0
E05,3.0,500.0,2048000.0,3764773.02655688,5.73745,5.89941,5.89941,3.1211171343166946,3.211694392335766,4.502820211712268,4.633495572673703,0.16195999999999966,5.89941,4.633495572673703,0.0,0.0,0.0004,0.680461,10.437,196225.0,196225.0,3338112.0,6836453376000.0,41018720256000.0
E05,3.0,549.0,2248704.0,4133720.7831594544,5.67553,5.83655,5.83655,3.0874332550747163,3.1774728160252153,4.454224646171963,4.584124274239068,0.16101999999999972,5.83655,4.584124274239068,0.0,0.0,0.0004,0.637005,11.5687,194379.0,194379.0,3338112.0,7506425806848.0,45038554841088.0
E05,4.0,732.0,2998272.0,5511627.710879273,5.48972,5.70501,5.70501,2.9863544178338888,3.1058612005640343,4.3083987089457985,4.480810551743175,0.21528999999999954,5.70501,4.480810551743175,0.0,0.0,0.0004,0.709487,15.3265,195626.0,195626.0,3338112.0,10008567742464.0,60051406454784.0
E05,5.0,915.0,3747840.0,6889534.638599091,5.34196,5.63839,5.63839,2.905974411425705,3.0695926448241537,4.192434872314089,4.428486086237044,0.29642999999999997,5.63839,4.428486086237044,0.0,0.0,0.0004,0.775044,19.1653,195553.0,195553.0,3338112.0,12510709678080.0,75064258068480.0
E06,0.0,0.0,0.0,0.0,8.55455,8.55316,8.55316,4.421181416810319,4.4335818503649636,6.378416504902689,6.396306548896847,-0.0013900000000006685,8.55316,6.396306548896847,0.0,0.0,0.0004,,0.0,0.0,0.0,3722112.0,0.0,0.0
E06,1.0,174.0,712704.0,1379011.9491632641,7.73894,7.72934,7.72934,3.9996560559947687,4.006549806071665,5.770283957245163,5.78022953629423,-0.009600000000000719,7.72934,5.78022953629423,0.0,0.0,0.0004,0.233472,4.0416,176342.0,176342.0,3722112.0,2652764110848.0,15916584665088.0
E06,2.0,348.0,1425408.0,2758023.8983265283,6.63827,6.7025,6.7025,3.43080535665458,3.4742811255806236,4.949605874300854,5.012328150529291,0.06422999999999934,6.7025,5.012328150529291,0.0,0.0,0.0004,0.562244,7.67762,185658.0,185658.0,3722112.0,5305528221696.0,31833169330176.0
